x=44.504892,y=51.087807
x=44.409074,y=51.141313
x=44.313193,y=51.194819
x=44.217247,y=51.248324
x=44.121238,y=51.301828
x=44.025163,y=51.355334
x=43.929023,y=51.408839
x=43.832816,y=51.462346
x=43.736542,y=51.515853
x=43.640201,y=51.569362
x=43.543791,y=51.622873
x=43.447312,y=51.676387
x=43.350763,y=51.729902
x=43.254144,y=51.783421
x=43.157454,y=51.836943
x=43.060693,y=51.890468
x=42.963858,y=51.943997
x=42.866951,y=51.997531
x=42.769970,y=52.051068
x=42.672915,y=52.104611
x=42.575785,y=52.158159
x=42.478578,y=52.211712
x=42.381296,y=52.265272
x=42.283936,y=52.318837
x=42.186498,y=52.372409
x=42.088982,y=52.425988
x=41.991386,y=52.479574
x=41.893711,y=52.533167
x=41.795955,y=52.586769
x=41.698117,y=52.640378
x=41.600198,y=52.693996
x=41.502196,y=52.747623
x=41.404110,y=52.801260
x=41.305940,y=52.854905
x=41.207686,y=52.908561
x=41.109346,y=52.962227
x=41.010919,y=53.015904
x=40.912406,y=53.069591
x=40.813805,y=53.123290
x=40.715115,y=53.177000
x=40.616336,y=53.230722
x=40.517468,y=53.284457
x=40.418508,y=53.338204
x=40.319458,y=53.391964
x=40.220315,y=53.445738
x=40.121079,y=53.499525
x=40.021750,y=53.553326
x=39.922327,y=53.607142
x=39.822809,y=53.660972
x=39.723194,y=53.714818
x=39.623484,y=53.768678
x=39.523676,y=53.822555
x=39.423770,y=53.876448
x=39.323765,y=53.930357
x=39.223661,y=53.984283
x=39.123456,y=54.038226
x=39.023150,y=54.092187
x=38.922743,y=54.146165
x=38.822232,y=54.200162
x=38.721619,y=54.254178
x=38.620901,y=54.308212
x=38.520078,y=54.362266
x=38.419150,y=54.416339
x=38.318115,y=54.470433
x=38.216973,y=54.524547
x=38.115723,y=54.578681
x=38.014364,y=54.632837
x=37.912895,y=54.687014
x=37.811316,y=54.741213
x=37.709626,y=54.795434
x=37.607823,y=54.849678
x=37.505908,y=54.903945
x=37.403879,y=54.958235
x=37.301735,y=55.012549
x=37.199476,y=55.066886
x=37.097101,y=55.121249
x=36.994610,y=55.175636
x=36.892000,y=55.230048
x=36.789272,y=55.284485
x=36.686424,y=55.338949
x=36.583456,y=55.393439
x=36.480367,y=55.447955
x=36.377156,y=55.502499
x=36.273822,y=55.557070
x=36.170365,y=55.611669
x=36.066783,y=55.666295
x=35.963075,y=55.720951
x=35.859242,y=55.775635
x=35.755281,y=55.830349
x=35.651193,y=55.885092
x=35.546975,y=55.939866
x=35.442628,y=55.994670
x=35.338151,y=56.049505
x=35.233542,y=56.104371
x=35.128800,y=56.159269
x=35.023925,y=56.214198
x=34.918917,y=56.269161
x=34.813773,y=56.324156
x=34.708493,y=56.379184
x=34.603077,y=56.434246
x=34.497522,y=56.489342
x=34.391829,y=56.544472
x=34.285997,y=56.599637
x=34.180024,y=56.654837
x=34.073910,y=56.710073
x=33.967653,y=56.765345
x=33.861253,y=56.820654
x=33.754709,y=56.875999
x=33.648019,y=56.931381
x=33.541184,y=56.986801
x=33.434201,y=57.042260
x=33.327071,y=57.097756
x=33.219791,y=57.153292
x=33.112362,y=57.208867
x=33.004781,y=57.264481
x=32.897049,y=57.320136
x=32.789164,y=57.375831
x=32.681125,y=57.431567
x=32.572932,y=57.487345
x=32.464582,y=57.543165
x=32.356076,y=57.599026
x=32.247412,y=57.654931
x=32.138589,y=57.710878
x=32.029606,y=57.766870
x=31.920462,y=57.822905
x=31.811157,y=57.878984
x=31.701688,y=57.935109
x=31.592056,y=57.991278
x=31.482259,y=58.047494
x=31.372296,y=58.103755
x=31.262165,y=58.160063
x=31.151867,y=58.216419
x=31.041400,y=58.272821
x=30.930762,y=58.329272
x=30.819953,y=58.385771
x=30.708972,y=58.442319
x=30.597817,y=58.498916
x=30.486488,y=58.555563
x=30.374983,y=58.612261
x=30.263301,y=58.669009
x=30.151442,y=58.725808
x=30.039404,y=58.782658
x=29.927186,y=58.839561
x=29.814786,y=58.896516
x=29.702205,y=58.953525
x=29.589440,y=59.010586
x=29.476491,y=59.067702
x=29.363356,y=59.124872
x=29.250034,y=59.182097
x=29.136524,y=59.239378
x=29.022825,y=59.296714
x=28.908936,y=59.354107
x=28.794855,y=59.411556
x=28.680582,y=59.469063
x=28.566115,y=59.526627
x=28.451453,y=59.584250
x=28.336595,y=59.641932
x=28.221540,y=59.699673
x=28.106286,y=59.757474
x=27.990832,y=59.815335
x=27.875177,y=59.873257
x=27.759320,y=59.931240
x=27.643259,y=59.989285
x=27.526994,y=60.047392
x=27.410522,y=60.105562
x=27.293844,y=60.163795
x=27.176957,y=60.222093
x=27.059860,y=60.280455
x=26.942552,y=60.338881
x=26.825032,y=60.397373
x=26.707298,y=60.455931
x=26.589349,y=60.514556
x=26.471184,y=60.573247
x=26.352801,y=60.632006
x=26.234200,y=60.690834
x=26.115378,y=60.749729
x=25.996335,y=60.808694
x=25.877069,y=60.867728
x=25.757579,y=60.926831
x=25.637863,y=60.985993
x=25.517920,y=61.045175
x=25.397747,y=61.104188
x=25.277340,y=61.162153
x=25.156694,y=61.215236
x=25.035827,y=61.250347
x=24.914870,y=61.246955
x=24.794042,y=61.208454
x=24.673445,y=61.155739
x=24.553086,y=61.099405
x=24.432959,y=61.042323
x=24.313062,y=60.985137
x=24.193392,y=60.927985
x=24.073947,y=60.870895
x=23.954726,y=60.813874
x=23.835727,y=60.756923
x=23.716950,y=60.700040
x=23.598392,y=60.643225
x=23.480053,y=60.586479
x=23.361931,y=60.529800
x=23.244025,y=60.473188
x=23.126334,y=60.416643
x=23.008856,y=60.360163
x=22.891589,y=60.303749
x=22.774534,y=60.247399
x=22.657688,y=60.191114
x=22.541050,y=60.134893
x=22.424619,y=60.078734
x=22.308394,y=60.022639
x=22.192373,y=59.966605
x=22.076555,y=59.910634
x=21.960939,y=59.854723
x=21.845524,y=59.798874
x=21.730308,y=59.743084
x=21.615291,y=59.687354
x=21.500470,y=59.631684
x=21.385846,y=59.576072
x=21.271416,y=59.520518
x=21.157179,y=59.465022
x=21.043135,y=59.409583
x=20.929282,y=59.354201
x=20.815619,y=59.298875
x=20.702145,y=59.243605
