x=-177.505680,y=-126.538853,z=0.387876
x=-177.495898,y=-126.505672,z=0.389397
x=-177.486116,y=-126.472491,z=0.390918
x=-177.476335,y=-126.439310,z=0.392439
x=-177.466553,y=-126.406129,z=0.393960
x=-177.456771,y=-126.372948,z=0.395481
x=-177.446990,y=-126.339767,z=0.397002
x=-177.437208,y=-126.306586,z=0.398523
x=-177.427426,y=-126.273405,z=0.400044
x=-177.417645,y=-126.240224,z=0.401565
x=-177.407863,y=-126.207043,z=0.403086
x=-177.398081,y=-126.173862,z=0.404607
x=-177.388300,y=-126.140681,z=0.406128
x=-177.378518,y=-126.107500,z=0.407650
x=-177.368737,y=-126.074319,z=0.409171
x=-177.358955,y=-126.041138,z=0.410692
x=-177.349173,y=-126.007957,z=0.412213
x=-177.339392,y=-125.974776,z=0.413734
x=-177.329610,y=-125.941595,z=0.415255
x=-177.319828,y=-125.908415,z=0.416776
x=-177.310047,y=-125.875234,z=0.418297
x=-177.300265,y=-125.842053,z=0.419818
x=-177.290483,y=-125.808872,z=0.421339
x=-177.280702,y=-125.775691,z=0.422860
x=-177.270920,y=-125.742510,z=0.424381
x=-177.261138,y=-125.709329,z=0.425903
x=-177.251357,y=-125.676148,z=0.427424
x=-177.241575,y=-125.642967,z=0.428945
x=-177.231793,y=-125.609786,z=0.430466
x=-177.222012,y=-125.576605,z=0.431987
x=-177.212230,y=-125.543424,z=0.433508
x=-177.202448,y=-125.510243,z=0.435029
x=-177.192667,y=-125.477062,z=0.436550
x=-177.182885,y=-125.443881,z=0.438071
x=-177.173104,y=-125.410700,z=0.439592
x=-177.163322,y=-125.377519,z=0.441113
x=-177.153540,y=-125.344338,z=0.442634
x=-177.143759,y=-125.311157,z=0.444155
x=-177.133977,y=-125.277976,z=0.445677
x=-177.124195,y=-125.244795,z=0.447198
x=-177.114414,y=-125.211614,z=0.448719
x=-177.104632,y=-125.178433,z=0.450240
x=-177.094850,y=-125.145252,z=0.451761
x=-177.085069,y=-125.112071,z=0.453282
x=-177.075287,y=-125.078890,z=0.454803
x=-177.065505,y=-125.045709,z=0.456324
x=-177.055724,y=-125.012528,z=0.457845
x=-177.045942,y=-124.979347,z=0.459366
x=-177.036160,y=-124.946166,z=0.460887
x=-177.026379,y=-124.912985,z=0.462408
x=-177.016597,y=-124.879804,z=0.463930
x=-177.006816,y=-124.846623,z=0.465451
x=-176.997034,y=-124.813443,z=0.466972
x=-176.987252,y=-124.780262,z=0.468493
x=-176.977471,y=-124.747081,z=0.470014
x=-176.967689,y=-124.713900,z=0.471535
x=-176.957907,y=-124.680719,z=0.473056
x=-176.948126,y=-124.647538,z=0.474577
x=-176.938344,y=-124.614357,z=0.476098
x=-176.928562,y=-124.581176,z=0.477619
x=-176.918781,y=-124.547995,z=0.479140
x=-176.908999,y=-124.514814,z=0.480661
x=-176.899217,y=-124.481633,z=0.482182
x=-176.889436,y=-124.448452,z=0.483704
x=-176.879654,y=-124.415271,z=0.485225
x=-176.869872,y=-124.382090,z=0.486746
x=-176.860091,y=-124.348909,z=0.488267
x=-176.850309,y=-124.315728,z=0.489788
x=-176.840527,y=-124.282547,z=0.491309
x=-176.830746,y=-124.249366,z=0.492830
x=-176.820964,y=-124.216185,z=0.494351
x=-176.811183,y=-124.183004,z=0.495872
x=-176.801401,y=-124.149823,z=0.497393
x=-176.791619,y=-124.116642,z=0.498914
x=-176.781838,y=-124.083461,z=0.500435
x=-176.772056,y=-124.050280,z=0.501957
x=-176.762274,y=-124.017099,z=0.503478
x=-176.752493,y=-123.983918,z=0.504999
x=-176.742711,y=-123.950737,z=0.506520
x=-176.732929,y=-123.917556,z=0.508041
x=-176.723148,y=-123.884375,z=0.509562
x=-176.713366,y=-123.851194,z=0.511083
x=-176.703584,y=-123.818013,z=0.512604
x=-176.693803,y=-123.784832,z=0.514125
x=-176.684021,y=-123.751652,z=0.515646
x=-176.674239,y=-123.718471,z=0.517167
x=-176.664458,y=-123.685290,z=0.518688
x=-176.654676,y=-123.652109,z=0.520209
x=-176.644895,y=-123.618928,z=0.521731
x=-176.635113,y=-123.585747,z=0.523252
x=-176.625331,y=-123.552566,z=0.524773
x=-176.615550,y=-123.519385,z=0.526294
x=-176.605768,y=-123.486204,z=0.527815
x=-176.595986,y=-123.453023,z=0.529336
x=-176.586205,y=-123.419842,z=0.530857
x=-176.576423,y=-123.386661,z=0.532378
x=-176.566641,y=-123.353480,z=0.533899
x=-176.556860,y=-123.320299,z=0.535420
x=-176.547078,y=-123.287118,z=0.536941
x=-176.537296,y=-123.253937,z=0.538462
x=-176.527515,y=-123.220756,z=0.539984
x=-176.517733,y=-123.187575,z=0.541505
x=-176.507951,y=-123.154394,z=0.543026
x=-176.498170,y=-123.121213,z=0.544547
x=-176.488388,y=-123.088032,z=0.546068
x=-176.478606,y=-123.054851,z=0.547589
x=-176.468825,y=-123.021670,z=0.549110
x=-176.459043,y=-122.988489,z=0.550631
x=-176.449262,y=-122.955308,z=0.552152
x=-176.439480,y=-122.922127,z=0.553673
x=-176.429698,y=-122.888946,z=0.555194
x=-176.419917,y=-122.855765,z=0.556715
x=-176.410135,y=-122.822584,z=0.558237
x=-176.400353,y=-122.789403,z=0.559758
x=-176.390572,y=-122.756222,z=0.561279
x=-176.380790,y=-122.723041,z=0.562800
x=-176.371008,y=-122.689861,z=0.564321
x=-176.361227,y=-122.656680,z=0.565842
x=-176.351445,y=-122.623499,z=0.567363
x=-176.341663,y=-122.590318,z=0.568884
x=-176.331882,y=-122.557137,z=0.570405
x=-176.322100,y=-122.523956,z=0.571926
x=-176.312318,y=-122.490775,z=0.573447
x=-176.302537,y=-122.457594,z=0.574968
x=-176.292755,y=-122.424413,z=0.576489
x=-176.282974,y=-122.391232,z=0.578011
x=-176.273192,y=-122.358051,z=0.579532
x=-176.263410,y=-122.324870,z=0.581053
x=-176.253629,y=-122.291689,z=0.582574
x=-176.243847,y=-122.258508,z=0.584095
x=-176.234065,y=-122.225327,z=0.585616
x=-176.224284,y=-122.192146,z=0.587137
x=-176.214502,y=-122.158965,z=0.588658
x=-176.204720,y=-122.125784,z=0.590179
x=-176.194939,y=-122.092603,z=0.591700
x=-176.185157,y=-122.059422,z=0.593221
x=-176.175375,y=-122.026241,z=0.594742
x=-176.165594,y=-121.993060,z=0.596264
x=-176.155812,y=-121.959879,z=0.597785
x=-176.146030,y=-121.926698,z=0.599306
x=-176.136249,y=-121.893517,z=0.600827
x=-176.126467,y=-121.860336,z=0.602348
x=-176.116685,y=-121.827155,z=0.603869
x=-176.106904,y=-121.793974,z=0.605390
x=-176.097122,y=-121.760793,z=0.606911
x=-176.087341,y=-121.727612,z=0.608432
x=-176.077559,y=-121.694431,z=0.609953
x=-176.067777,y=-121.661250,z=0.611474
x=-176.057996,y=-121.628070,z=0.612995
x=-176.048214,y=-121.594889,z=0.614516
x=-176.038432,y=-121.561708,z=0.616038
x=-176.028651,y=-121.528527,z=0.617559
x=-176.018869,y=-121.495346,z=0.619080
x=-176.009087,y=-121.462165,z=0.620601
x=-175.999306,y=-121.428984,z=0.622122
x=-175.989524,y=-121.395803,z=0.623643
x=-175.979742,y=-121.362622,z=0.625164
x=-175.969961,y=-121.329441,z=0.626685
x=-175.960179,y=-121.296260,z=0.628206
x=-175.950397,y=-121.263079,z=0.629727
x=-175.940616,y=-121.229898,z=0.631248
x=-175.930834,y=-121.196717,z=0.632769
x=-175.921053,y=-121.163536,z=0.634291
x=-175.911271,y=-121.130355,z=0.635812
x=-175.901489,y=-121.097174,z=0.637333
x=-175.891708,y=-121.063993,z=0.638854
x=-175.881926,y=-121.030812,z=0.640375
x=-175.872144,y=-120.997631,z=0.641896
x=-175.862363,y=-120.964450,z=0.643417
x=-175.852581,y=-120.931269,z=0.644938
x=-175.842799,y=-120.898088,z=0.646459
x=-175.833018,y=-120.864907,z=0.647980
x=-175.823236,y=-120.831726,z=0.649501
x=-175.813454,y=-120.798545,z=0.651022
x=-175.803673,y=-120.765364,z=0.652543
x=-175.793891,y=-120.732183,z=0.654065
x=-175.784109,y=-120.699002,z=0.655586
x=-175.774328,y=-120.665821,z=0.657107
x=-175.764546,y=-120.632640,z=0.658628
x=-175.754764,y=-120.599459,z=0.660149
x=-175.744983,y=-120.566279,z=0.661670
x=-175.735201,y=-120.533098,z=0.663191
x=-175.725420,y=-120.499917,z=0.664712
x=-175.715638,y=-120.466736,z=0.666233
x=-175.705856,y=-120.433555,z=0.667754
x=-175.696075,y=-120.400374,z=0.669275
x=-175.686293,y=-120.367193,z=0.670796
x=-175.676511,y=-120.334012,z=0.672318
x=-175.666730,y=-120.300831,z=0.673839
x=-175.656948,y=-120.267650,z=0.675360
x=-175.647166,y=-120.234469,z=0.676881
x=-175.637385,y=-120.201288,z=0.678402
x=-175.627603,y=-120.168107,z=0.679923
x=-175.617821,y=-120.134926,z=0.681444
x=-175.608040,y=-120.101745,z=0.682965
x=-175.598258,y=-120.068564,z=0.684486
x=-175.588476,y=-120.035383,z=0.686007
x=-175.578695,y=-120.002202,z=0.687528
x=-175.568913,y=-119.969021,z=0.689049
x=-175.559132,y=-119.935840,z=0.690570
x=-175.549350,y=-119.902659,z=0.692092
x=-175.539568,y=-119.869478,z=0.693613
x=-175.529787,y=-119.836297,z=0.695134
x=-175.520005,y=-119.803116,z=0.696655
x=-175.510223,y=-119.769935,z=0.698176
x=-175.500442,y=-119.736754,z=0.699697
x=-175.490660,y=-119.703573,z=0.701218
x=-175.480878,y=-119.670392,z=0.702739
x=-175.471097,y=-119.637211,z=0.704260
x=-175.461315,y=-119.604030,z=0.705781
x=-175.451533,y=-119.570849,z=0.707302
x=-175.441752,y=-119.537668,z=0.708823
x=-175.431970,y=-119.504487,z=0.710345
x=-175.422188,y=-119.471307,z=0.711866
x=-175.412407,y=-119.438126,z=0.713387
x=-175.402625,y=-119.404945,z=0.714908
x=-175.392843,y=-119.371764,z=0.716429
x=-175.383062,y=-119.338583,z=0.717950
x=-175.373280,y=-119.305402,z=0.719471
x=-175.363499,y=-119.272221,z=0.720992
x=-175.353717,y=-119.239040,z=0.722513
x=-175.343935,y=-119.205859,z=0.724034
x=-175.334154,y=-119.172678,z=0.725555
x=-175.324372,y=-119.139497,z=0.727076
x=-175.314590,y=-119.106316,z=0.728598
x=-175.304809,y=-119.073135,z=0.730119
x=-175.295027,y=-119.039954,z=0.731640
x=-175.285245,y=-119.006773,z=0.733161
x=-175.275464,y=-118.973592,z=0.734682
x=-175.265682,y=-118.940411,z=0.736203
x=-175.255900,y=-118.907230,z=0.737724
x=-175.246119,y=-118.874049,z=0.739245
x=-175.236337,y=-118.840868,z=0.740766
x=-175.226555,y=-118.807687,z=0.742287
x=-175.216774,y=-118.774506,z=0.743808
x=-175.206992,y=-118.741325,z=0.745329
x=-175.197211,y=-118.708144,z=0.746850
x=-175.187429,y=-118.674963,z=0.748372
x=-175.177647,y=-118.641782,z=0.749893
x=-175.167866,y=-118.608601,z=0.751414
x=-175.158084,y=-118.575420,z=0.752935
x=-175.148302,y=-118.542239,z=0.754456
x=-175.138521,y=-118.509058,z=0.755977
x=-175.128739,y=-118.475877,z=0.757498
x=-175.118957,y=-118.442696,z=0.759019
x=-175.109176,y=-118.409516,z=0.760540
x=-175.099394,y=-118.376335,z=0.762061
x=-175.089612,y=-118.343154,z=0.763582
x=-175.079831,y=-118.309973,z=0.765103
x=-175.070049,y=-118.276792,z=0.766625
x=-175.060267,y=-118.243611,z=0.768146
x=-175.050486,y=-118.210430,z=0.769667
x=-175.040704,y=-118.177249,z=0.771188
x=-175.030922,y=-118.144068,z=0.772709
x=-175.021141,y=-118.110887,z=0.774230
