x=-45.381792,y=6.220782
x=-45.357581,y=6.042391
x=-45.331945,y=5.864835
x=-45.304880,y=5.688115
x=-45.276383,y=5.512234
x=-45.246452,y=5.337192
x=-45.215083,y=5.162991
x=-45.182275,y=4.989633
x=-45.148023,y=4.817119
x=-45.112326,y=4.645450
x=-45.075180,y=4.474629
x=-45.036585,y=4.304656
x=-44.996536,y=4.135532
x=-44.955031,y=3.967259
x=-44.912069,y=3.799837
x=-44.867647,y=3.633269
x=-44.821763,y=3.467554
x=-44.774415,y=3.302694
x=-44.725600,y=3.138690
x=-44.675317,y=2.975542
x=-44.623564,y=2.813252
x=-44.570339,y=2.651820
x=-44.515640,y=2.491247
x=-44.459466,y=2.331533
x=-44.401815,y=2.172680
x=-44.342685,y=2.014687
x=-44.282075,y=1.857555
x=-44.219984,y=1.701285
x=-44.156410,y=1.545876
x=-44.091352,y=1.391331
x=-44.024808,y=1.237647
x=-43.956779,y=1.084827
x=-43.887262,y=0.932870
x=-43.816256,y=0.781776
x=-43.743762,y=0.631545
x=-43.669777,y=0.482178
x=-43.594302,y=0.333674
x=-43.517335,y=0.186033
x=-43.438876,y=0.039256
x=-43.358924,y=-0.106658
x=-43.277480,y=-0.251709
x=-43.194542,y=-0.395897
x=-43.110110,y=-0.539223
x=-43.024185,y=-0.681686
x=-42.936765,y=-0.823288
x=-42.847852,y=-0.964028
x=-42.757444,y=-1.103907
x=-42.665542,y=-1.242926
x=-42.572147,y=-1.381085
x=-42.477257,y=-1.518384
x=-42.380875,y=-1.654824
x=-42.283000,y=-1.790406
x=-42.183632,y=-1.925131
x=-42.082772,y=-2.058999
x=-41.980422,y=-2.192011
x=-41.876581,y=-2.324167
x=-41.771250,y=-2.455470
x=-41.664430,y=-2.585919
x=-41.556122,y=-2.715515
x=-41.446328,y=-2.844260
x=-41.335048,y=-2.972154
x=-41.222283,y=-3.099199
x=-41.108035,y=-3.225395
x=-40.992306,y=-3.350744
x=-40.875095,y=-3.475246
x=-40.756406,y=-3.598904
x=-40.636239,y=-3.721718
x=-40.514596,y=-3.843689
x=-40.391480,y=-3.964819
x=-40.266891,y=-4.085109
x=-40.140832,y=-4.204560
x=-40.013305,y=-4.323174
x=-39.884312,y=-4.440952
x=-39.753854,y=-4.557896
x=-39.621935,y=-4.674007
x=-39.488556,y=-4.789286
x=-39.353720,y=-4.903736
x=-39.217429,y=-5.017357
x=-39.079687,y=-5.130152
x=-38.940494,y=-5.242121
x=-38.799855,y=-5.353267
x=-38.657772,y=-5.463592
x=-38.514248,y=-5.573096
x=-38.369286,y=-5.681781
x=-38.222889,y=-5.789651
x=-38.075059,y=-5.896705
x=-37.925801,y=-6.002946
x=-37.775118,y=-6.108376
x=-37.623012,y=-6.212997
x=-37.469487,y=-6.316811
x=-37.314547,y=-6.419818
x=-37.158196,y=-6.522023
x=-37.000437,y=-6.623425
x=-36.841273,y=-6.724028
x=-36.680709,y=-6.823833
x=-36.518749,y=-6.922842
x=-36.355396,y=-7.021058
x=-36.190655,y=-7.118482
x=-36.024530,y=-7.215116
x=-35.857024,y=-7.310963
x=-35.688144,y=-7.406024
x=-35.517891,y=-7.500303
x=-35.346273,y=-7.593800
x=-35.173292,y=-7.686518
x=-34.998953,y=-7.778459
x=-34.823261,y=-7.869626
x=-34.646222,y=-7.960020
x=-34.467839,y=-8.049644
x=-34.288118,y=-8.138500
x=-34.107064,y=-8.226590
x=-33.924681,y=-8.313917
x=-33.740976,y=-8.400482
x=-33.555953,y=-8.486289
x=-33.369617,y=-8.571339
x=-33.181975,y=-8.655634
x=-32.993031,y=-8.739178
x=-32.802792,y=-8.821972
x=-32.611262,y=-8.904018
x=-32.418447,y=-8.985319
x=-32.224354,y=-9.065878
x=-32.028988,y=-9.145696
x=-31.832355,y=-9.224777
x=-31.634461,y=-9.303122
x=-31.435313,y=-9.380733
x=-31.234916,y=-9.457614
x=-31.033276,y=-9.533766
x=-30.830401,y=-9.609192
x=-30.626295,y=-9.683895
x=-30.420967,y=-9.757876
x=-30.214422,y=-9.831139
x=-30.006667,y=-9.903685
x=-29.797708,y=-9.975517
x=-29.587553,y=-10.046637
x=-29.376208,y=-10.117048
x=-29.163680,y=-10.186752
x=-28.949977,y=-10.255753
x=-28.735104,y=-10.324051
x=-28.519070,y=-10.391649
x=-28.301881,y=-10.458551
x=-28.083545,y=-10.524758
x=-27.864069,y=-10.590272
x=-27.643461,y=-10.655097
x=-27.421727,y=-10.719234
x=-27.198875,y=-10.782686
x=-26.974914,y=-10.845456
x=-26.749850,y=-10.907545
x=-26.523692,y=-10.968957
x=-26.296447,y=-11.029693
x=-26.068123,y=-11.089756
x=-25.838728,y=-11.149148
x=-25.608270,y=-11.207872
x=-25.376757,y=-11.265930
x=-25.144198,y=-11.323324
x=-24.910599,y=-11.380057
x=-24.675970,y=-11.436131
x=-24.440320,y=-11.491549
x=-24.203655,y=-11.546312
x=-23.965985,y=-11.600424
x=-23.727319,y=-11.653886
x=-23.487664,y=-11.706700
x=-23.247030,y=-11.758870
x=-23.005425,y=-11.810396
x=-22.762858,y=-11.861282
x=-22.519338,y=-11.911530
x=-22.274873,y=-11.961142
x=-22.029472,y=-12.010120
x=-21.783145,y=-12.058467
x=-21.535901,y=-12.106184
x=-21.287748,y=-12.153274
x=-21.038696,y=-12.199739
