x=-87.161887,y=-47.441909
x=-87.062004,y=-47.437073
x=-86.962121,y=-47.432237
x=-86.862238,y=-47.427402
x=-86.762355,y=-47.422566
x=-86.662472,y=-47.417730
x=-86.562589,y=-47.412894
x=-86.462706,y=-47.408059
x=-86.362823,y=-47.403223
x=-86.262940,y=-47.398387
x=-86.163057,y=-47.393552
x=-86.063174,y=-47.388716
x=-85.963291,y=-47.383880
x=-85.863408,y=-47.379044
x=-85.763525,y=-47.374209
x=-85.663642,y=-47.369373
x=-85.563759,y=-47.364537
x=-85.463876,y=-47.359702
x=-85.363993,y=-47.354866
x=-85.264110,y=-47.350030
x=-85.164227,y=-47.345194
x=-85.064344,y=-47.340359
x=-84.964461,y=-47.335523
x=-84.864578,y=-47.330687
x=-84.764695,y=-47.325852
x=-84.664812,y=-47.321016
x=-84.564929,y=-47.316180
x=-84.465046,y=-47.311344
x=-84.365163,y=-47.306509
x=-84.265280,y=-47.301673
x=-84.165397,y=-47.296837
x=-84.065514,y=-47.292002
x=-83.965631,y=-47.287166
x=-83.865748,y=-47.282330
x=-83.765865,y=-47.277494
x=-83.665982,y=-47.272659
x=-83.566099,y=-47.267823
x=-83.466216,y=-47.262987
x=-83.366333,y=-47.258152
x=-83.266450,y=-47.253316
x=-83.166567,y=-47.248480
x=-83.066684,y=-47.243644
x=-82.966801,y=-47.238809
x=-82.866918,y=-47.233973
x=-82.767035,y=-47.229137
x=-82.667152,y=-47.224302
x=-82.567269,y=-47.219466
x=-82.467386,y=-47.214630
x=-82.367503,y=-47.209794
x=-82.267620,y=-47.204959
x=-82.167737,y=-47.200123
x=-82.067854,y=-47.195287
x=-81.967971,y=-47.190452
x=-81.868088,y=-47.185616
x=-81.768205,y=-47.180780
x=-81.668322,y=-47.175945
x=-81.568439,y=-47.171109
x=-81.468556,y=-47.166273
x=-81.368673,y=-47.161437
x=-81.268790,y=-47.156602
x=-81.168906,y=-47.151766
x=-81.069023,y=-47.146930
x=-80.969140,y=-47.142095
x=-80.869257,y=-47.137259
x=-80.769374,y=-47.132423
x=-80.669491,y=-47.127587
x=-80.569608,y=-47.122752
x=-80.469725,y=-47.117916
x=-80.369842,y=-47.113080
x=-80.269959,y=-47.108245
x=-80.170076,y=-47.103409
x=-80.070193,y=-47.098573
x=-79.970310,y=-47.093737
x=-79.870427,y=-47.088902
x=-79.770544,y=-47.084066
x=-79.670661,y=-47.079230
x=-79.570778,y=-47.074395
x=-79.470895,y=-47.069559
x=-79.371012,y=-47.064723
x=-79.271129,y=-47.059887
x=-79.171246,y=-47.055052
x=-79.071363,y=-47.050216
x=-78.971480,y=-47.045380
x=-78.871597,y=-47.040545
x=-78.771714,y=-47.035709
x=-78.671831,y=-47.030873
x=-78.571948,y=-47.026037
x=-78.472065,y=-47.021202
x=-78.372182,y=-47.016366
x=-78.272299,y=-47.011530
x=-78.172416,y=-47.006695
x=-78.072533,y=-47.001859
x=-77.972650,y=-46.997023
x=-77.872767,y=-46.992187
x=-77.772884,y=-46.987352
x=-77.673001,y=-46.982516
x=-77.573118,y=-46.977680
x=-77.473235,y=-46.972845
x=-77.373352,y=-46.968009
x=-77.273469,y=-46.963173
x=-77.173586,y=-46.958338
x=-77.073703,y=-46.953502
x=-76.973820,y=-46.948666
x=-76.873937,y=-46.943830
x=-76.774054,y=-46.938995
x=-76.674171,y=-46.934159
x=-76.574288,y=-46.929323
x=-76.474405,y=-46.924488
x=-76.374522,y=-46.919652
x=-76.274639,y=-46.914816
x=-76.174756,y=-46.909980
x=-76.074873,y=-46.905145
x=-75.974990,y=-46.900309
x=-75.875107,y=-46.895473
x=-75.775224,y=-46.890638
x=-75.675341,y=-46.885802
x=-75.575458,y=-46.880966
x=-75.475575,y=-46.876130
x=-75.375692,y=-46.871295
x=-75.275809,y=-46.866459
x=-75.175926,y=-46.861623
x=-75.076043,y=-46.856788
x=-74.976160,y=-46.851952
x=-74.876277,y=-46.847116
x=-74.776394,y=-46.842280
x=-74.676511,y=-46.837445
x=-74.576628,y=-46.832609
x=-74.476745,y=-46.827773
x=-74.376862,y=-46.822938
x=-74.276979,y=-46.818102
x=-74.177096,y=-46.813266
x=-74.077213,y=-46.808430
x=-73.977330,y=-46.803595
x=-73.877447,y=-46.798759
x=-73.777564,y=-46.793923
x=-73.677681,y=-46.789088
x=-73.577798,y=-46.784252
x=-73.477915,y=-46.779416
x=-73.378032,y=-46.774580
x=-73.278149,y=-46.769745
x=-73.178266,y=-46.764909
x=-73.078383,y=-46.760073
x=-72.978500,y=-46.755238
x=-72.878617,y=-46.750402
x=-72.778734,y=-46.745566
x=-72.678851,y=-46.740730
x=-72.578968,y=-46.735895
x=-72.479085,y=-46.731059
x=-72.379202,y=-46.726223
x=-72.279319,y=-46.721388
x=-72.179436,y=-46.716552
x=-72.079552,y=-46.711716
x=-71.979669,y=-46.706881
x=-71.879786,y=-46.702045
x=-71.779903,y=-46.697209
x=-71.680020,y=-46.692373
x=-71.580137,y=-46.687538
x=-71.480254,y=-46.682702
x=-71.380371,y=-46.677866
x=-71.280488,y=-46.673031
x=-71.180605,y=-46.668195
x=-71.080722,y=-46.663359
x=-70.980839,y=-46.658523
x=-70.880956,y=-46.653688
x=-70.781073,y=-46.648852
x=-70.681190,y=-46.644016
x=-70.581307,y=-46.639181
x=-70.481424,y=-46.634345
x=-70.381541,y=-46.629509
x=-70.281658,y=-46.624673
x=-70.181775,y=-46.619838
x=-70.081892,y=-46.615002
x=-69.982009,y=-46.610166
x=-69.882126,y=-46.605331
x=-69.782243,y=-46.600495
x=-69.682360,y=-46.595659
x=-69.582477,y=-46.590823
x=-69.482594,y=-46.585988
x=-69.382711,y=-46.581152
x=-69.282828,y=-46.576316
x=-69.182945,y=-46.571481
x=-69.083062,y=-46.566645
x=-68.983179,y=-46.561809
x=-68.883296,y=-46.556973
x=-68.783413,y=-46.552138
x=-68.683530,y=-46.547302
x=-68.583647,y=-46.542466
x=-68.483764,y=-46.537631
x=-68.383881,y=-46.532795
x=-68.283998,y=-46.527959
x=-68.184115,y=-46.523123
x=-68.084232,y=-46.518288
x=-67.984349,y=-46.513452
x=-67.884466,y=-46.508616
x=-67.784583,y=-46.503781
x=-67.684700,y=-46.498945
x=-67.584817,y=-46.494109
x=-67.484934,y=-46.489273
x=-67.385051,y=-46.484438
x=-67.285168,y=-46.479602
x=-67.185285,y=-46.474766
x=-67.085402,y=-46.469931
x=-66.985519,y=-46.465095
x=-66.885636,y=-46.460259
x=-66.785753,y=-46.455424
x=-66.685870,y=-46.450588
x=-66.585987,y=-46.445752
x=-66.486104,y=-46.440916
x=-66.386221,y=-46.436081
x=-66.286338,y=-46.431245
x=-66.186455,y=-46.426409
x=-66.086572,y=-46.421574
x=-65.986689,y=-46.416738
x=-65.886806,y=-46.411902
x=-65.786923,y=-46.407066
x=-65.687040,y=-46.402231
x=-65.587157,y=-46.397395
x=-65.487274,y=-46.392559
x=-65.387391,y=-46.387724
x=-65.287508,y=-46.382888
x=-65.187625,y=-46.378052
x=-65.087742,y=-46.373216
x=-64.987859,y=-46.368381
x=-64.887976,y=-46.363545
x=-64.788093,y=-46.358709
x=-64.688210,y=-46.353874
x=-64.588327,y=-46.349038
x=-64.488444,y=-46.344202
x=-64.388561,y=-46.339366
x=-64.288678,y=-46.334531
x=-64.188795,y=-46.329695
x=-64.088912,y=-46.324859
x=-63.989029,y=-46.320024
x=-63.889146,y=-46.315188
x=-63.789263,y=-46.310352
x=-63.689380,y=-46.305516
x=-63.589497,y=-46.300681
x=-63.489614,y=-46.295845
x=-63.389731,y=-46.291009
x=-63.289848,y=-46.286174
