x=-41.862278,y=6.463352
x=-41.864610,y=6.438480
x=-41.884871,y=6.340554
x=-41.905132,y=6.242628
x=-41.925393,y=6.144702
x=-41.945654,y=6.046776
x=-41.965915,y=5.948850
x=-41.986176,y=5.850924
x=-42.006437,y=5.752998
x=-42.026699,y=5.655073
x=-42.046960,y=5.557147
x=-42.067221,y=5.459221
x=-42.074630,y=5.423410
x=-42.114502,y=5.331703
x=-42.154375,y=5.239996
x=-42.194247,y=5.148289
x=-42.234120,y=5.056582
x=-42.273992,y=4.964875
x=-42.313865,y=4.873168
x=-42.353737,y=4.781460
x=-42.393610,y=4.689753
x=-42.424650,y=4.618360
x=-42.459762,y=4.524727
x=-42.494874,y=4.431094
x=-42.529986,y=4.337461
x=-42.565099,y=4.243828
x=-42.600211,y=4.150195
x=-42.635323,y=4.056562
x=-42.670435,y=3.962929
x=-42.705547,y=3.869296
x=-42.740659,y=3.775663
x=-42.775772,y=3.682030
x=-42.810884,y=3.588397
x=-42.844670,y=3.498300
x=-42.885380,y=3.432440
x=-42.949680,y=3.358290
x=-42.992430,y=3.293910
x=-43.058680,y=3.219009
x=-43.127230,y=3.146207
x=-43.159690,y=3.113270
x=-43.243965,y=3.059440
x=-43.328395,y=3.005852
x=-43.412978,y=2.952507
x=-43.497715,y=2.899407
x=-43.582604,y=2.846550
x=-43.667645,y=2.793938
x=-43.752837,y=2.741571
x=-43.838180,y=2.689450
x=-43.923672,y=2.637574
x=-44.009313,y=2.585945
x=-44.095103,y=2.534563
x=-44.181040,y=2.483427
x=-44.267124,y=2.432540
x=-44.353354,y=2.381900
x=-44.439729,y=2.331509
x=-44.526249,y=2.281367
x=-44.612913,y=2.231473
x=-44.699721,y=2.181830
x=-44.786671,y=2.132437
x=-44.873763,y=2.083294
x=-44.960995,y=2.034402
x=-45.048369,y=1.985762
x=-45.135882,y=1.937373
x=-45.223534,y=1.889236
x=-45.311324,y=1.841352
x=-45.399251,y=1.793721
x=-45.487316,y=1.746343
x=-45.575516,y=1.699219
x=-45.663852,y=1.652349
x=-45.752322,y=1.605733
x=-45.840926,y=1.559372
x=-45.929663,y=1.513267
x=-46.018532,y=1.467417
x=-46.107534,y=1.421823
x=-46.196666,y=1.376486
x=-46.285928,y=1.331405
x=-46.375319,y=1.286582
x=-46.464839,y=1.242016
x=-46.554488,y=1.197708
x=-46.644263,y=1.153658
x=-46.734165,y=1.109867
x=-46.824192,y=1.066334
x=-46.869170,y=1.044700
x=-46.959492,y=1.001782
x=-47.050149,y=0.959577
x=-47.141135,y=0.918086
x=-47.232445,y=0.877314
x=-47.324073,y=0.837261
x=-47.416014,y=0.797931
x=-47.508261,y=0.759326
x=-47.600810,y=0.721448
x=-47.693654,y=0.684300
x=-47.786787,y=0.647885
x=-47.880204,y=0.612203
x=-47.973900,y=0.577258
x=-48.067867,y=0.543052
x=-48.162101,y=0.509587
x=-48.256595,y=0.476864
x=-48.351344,y=0.444887
x=-48.446342,y=0.413656
x=-48.541583,y=0.383174
x=-48.637061,y=0.353443
x=-48.732770,y=0.324465
x=-48.828704,y=0.296240
x=-48.924857,y=0.268772
x=-49.021224,y=0.242062
x=-49.117798,y=0.216112
x=-49.214573,y=0.190922
x=-49.285070,y=0.173090
x=-49.381422,y=0.146325
x=-49.477773,y=0.119560
x=-49.574125,y=0.092795
x=-49.670477,y=0.066030
x=-49.766828,y=0.039265
x=-49.863180,y=0.012500
x=-49.959531,y=-0.014265
x=-50.055883,y=-0.041030
x=-50.152235,y=-0.067794
x=-50.248586,y=-0.094559
x=-50.344938,y=-0.121324
x=-50.441290,y=-0.148089
x=-50.537641,y=-0.174854
x=-50.545150,y=-0.176940
x=-50.643967,y=-0.192273
x=-50.742785,y=-0.207606
x=-50.841602,y=-0.222940
x=-50.940420,y=-0.238273
x=-51.039237,y=-0.253606
x=-51.138055,y=-0.268939
x=-51.236872,y=-0.284273
x=-51.335690,y=-0.299606
x=-51.434507,y=-0.314939
x=-51.533325,y=-0.330272
x=-51.632142,y=-0.345606
x=-51.730960,y=-0.360939
x=-51.829777,y=-0.376272
x=-51.928595,y=-0.391605
x=-52.027412,y=-0.406939
x=-52.126229,y=-0.422272
x=-52.225047,y=-0.437605
x=-52.323864,y=-0.452938
x=-52.422682,y=-0.468272
x=-52.521499,y=-0.483605
x=-52.575280,y=-0.491950
x=-52.674147,y=-0.506959
x=-52.773141,y=-0.521108
x=-52.872253,y=-0.534398
x=-52.971478,y=-0.546826
